classe,texto,titulo,capitulo,secao,subsecao,artigo,paragrafo,inciso,alinea
inciso,"XXXI - a sucessão de bens de estrangeiros situados no País será regulada pela lei brasileira em benefício do cônjuge ou dos filhos brasileiros, sempre que não lhes seja mais favorável a lei pessoal do de cujus;",2,1,NA,NA,5,NA,31,NA
inciso,"XXXII - o Estado promoverá, na forma da lei, a defesa do consumidor;",2,1,NA,NA,5,NA,32,NA
inciso,"XXXIII - todos têm direito a receber dos órgãos públicos informações de seu interesse particular, ou de interesse coletivo ou geral, que serão prestadas no prazo da lei, sob pena de responsabilidade, ressalvadas aquelas cujo sigilo seja imprescindível à segurança da sociedade e do Estado;",2,1,NA,NA,5,NA,33,NA
inciso,"XXXIV - são a todos assegurados, independentemente do pagamento de taxas:",2,1,NA,NA,5,NA,34,NA
alinea,a) o direito de petição aos poderes públicos em defesa de direitos ou contra ilegalidade ou abuso de poder;,2,1,NA,NA,5,NA,34,1
alinea,"b) a obtenção de certidões em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal;",2,1,NA,NA,5,NA,34,2
inciso,XXXV - a lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a direito;,2,1,NA,NA,5,NA,35,NA
inciso,"XXXVI - a lei não prejudicará o direito adquirido, o ato jurídico perfeito e a coisa julgada;",2,1,NA,NA,5,NA,36,NA
inciso,XXXVII - não haverá juízo ou tribunal de exceção;,2,1,NA,NA,5,NA,37,NA
inciso,"XXXVIII - é reconhecida a instituição do júri, com a organização que lhe der a lei, assegurados:",2,1,NA,NA,5,NA,38,NA
alinea,a) a plenitude de defesa;,2,1,NA,NA,5,NA,38,1
alinea,b) o sigilo das votações;,2,1,NA,NA,5,NA,38,2
alinea,c) a soberania dos veredictos;,2,1,NA,NA,5,NA,38,3
alinea,d) a competência para o julgamento dos crimes dolosos contra a vida;,2,1,NA,NA,5,NA,38,4
inciso,"XXXIX - não há crime sem lei anterior que o defina, nem pena sem prévia cominação legal;",2,1,NA,NA,5,NA,39,NA
inciso,"XL - a lei penal não retroagirá, salvo para beneficiar o réu;",2,1,NA,NA,5,NA,40,NA
inciso,XLI - a lei punirá qualquer discriminação atentatória dos direitos e liberdades fundamentais;,2,1,NA,NA,5,NA,41,NA
inciso,"XLII - a prática do racismo constitui crime inafiançável e imprescritível, sujeito à pena de reclusão, nos termos da lei;",2,1,NA,NA,5,NA,42,NA
inciso,"XLIII - a lei considerará crimes inafiançáveis e insuscetíveis de graça ou anistia a prática da tortura, o tráfico ilícito de entorpecentes e drogas afins, o terrorismo e os definidos como crimes hediondos, por eles respondendo os mandantes, os executores e os que, podendo evitá-los, se omitirem;",2,1,NA,NA,5,NA,43,NA
inciso,"XLIV - constitui crime inafiançável e imprescritível a ação de grupos armados, civis ou militares, contra a ordem constitucional e o Estado democrático;",2,1,NA,NA,5,NA,44,NA
inciso,"XLV - nenhuma pena passará da pessoa do condenado, podendo a obrigação de reparar o dano e a decretação do perdimento de bens ser, nos termos da lei, estendidas aos sucessores e contra eles executadas, até o limite do valor do patrimônio transferido;",2,1,NA,NA,5,NA,45,NA
inciso,"XLVI - a lei regulará a individualização da pena e adotará, entre outras, as seguintes:",2,1,NA,NA,5,NA,46,NA
alinea,a) privação ou restrição da liberdade;,2,1,NA,NA,5,NA,46,1
alinea,b) perda de bens;,2,1,NA,NA,5,NA,46,2
alinea,c) multa;,2,1,NA,NA,5,NA,46,3
alinea,d) prestação social alternativa;,2,1,NA,NA,5,NA,46,4
alinea,e) suspensão ou interdição de direitos;,2,1,NA,NA,5,NA,46,5
inciso,XLVII - não haverá penas:,2,1,NA,NA,5,NA,47,NA
alinea,"a) de morte, salvo em caso de guerra declarada, nos termos do art. 84, XIX;",2,1,NA,NA,5,NA,47,1
alinea,b) de caráter perpétuo;,2,1,NA,NA,5,NA,47,2
alinea,c) de trabalhos forçados;,2,1,NA,NA,5,NA,47,3
alinea,d) de banimento;,2,1,NA,NA,5,NA,47,4
alinea,e) cruéis;,2,1,NA,NA,5,NA,47,5
inciso,"XLVIII - a pena será cumprida em estabelecimentos distintos, de acordo com a natureza do delito, a idade e o sexo do apenado;",2,1,NA,NA,5,NA,48,NA
inciso,XLIX - é assegurado aos presos o respeito à integridade física e moral;,2,1,NA,NA,5,NA,49,NA
inciso,L - às presidiárias serão asseguradas condições para que possam permanecer com seus filhos durante o período de amamentação;,2,1,NA,NA,5,NA,50,NA
inciso,"LI - nenhum brasileiro será extraditado, salvo o naturalizado, em caso de crime comum, praticado antes da naturalização, ou de comprovado envolvimento em tráfico ilícito de entorpecentes e drogas afins, na forma da lei;",2,1,NA,NA,5,NA,51,NA
inciso,LII - não será concedida extradição de estrangeiro por crime político ou de opinião;,2,1,NA,NA,5,NA,52,NA
inciso,LIII - ninguém será processado nem sentenciado senão pela autoridade competente;,2,1,NA,NA,5,NA,53,NA
inciso,LIV - ninguém será privado da liberdade ou de seus bens sem o devido processo legal;,2,1,NA,NA,5,NA,54,NA
inciso,"LV - aos litigantes, em processo judicial ou administrativo, e aos acusados em geral são assegurados o contraditório e a ampla defesa, com os meios e recursos a ela inerentes;",2,1,NA,NA,5,NA,55,NA
inciso,"LVI - são inadmissíveis, no processo, as provas obtidas por meios ilícitos;",2,1,NA,NA,5,NA,56,NA
inciso,LVII - ninguém será considerado culpado até o trânsito em julgado de sentença penal condenatória;,2,1,NA,NA,5,NA,57,NA
inciso,"LVIII - o civilmente identificado não será submetido a identificação criminal, salvo nas hipóteses previstas em lei;",2,1,NA,NA,5,NA,58,NA
inciso,"LIX - será admitida ação privada nos crimes de ação pública, se esta não for intentada no prazo legal;",2,1,NA,NA,5,NA,59,NA
inciso,LX - a lei só poderá restringir a publicidade dos atos processuais quando a defesa da intimidade ou o interesse social o exigirem;,2,1,NA,NA,5,NA,60,NA
inciso,"LXI - ninguém será preso senão em flagrante delito ou por ordem escrita e fundamentada de autoridade judiciária competente, salvo nos casos de transgressão militar ou crime propriamente militar, definidos em lei;",2,1,NA,NA,5,NA,61,NA
inciso,LXII - a prisão de qualquer pessoa e o local onde se encontre serão comunicados imediatamente ao juiz competente e à família do preso ou à pessoa por ele indicada;,2,1,NA,NA,5,NA,62,NA
inciso,"LXIII - o preso será informado de seus direitos, entre os quais o de permanecer calado, sendo-lhe assegurada a assistência da família e de advogado;",2,1,NA,NA,5,NA,63,NA
inciso,LXIV - o preso tem direito à identificação dos responsáveis por sua prisão ou por seu interrogatório policial;,2,1,NA,NA,5,NA,64,NA
inciso,LXV - a prisão ilegal será imediatamente relaxada pela autoridade judiciária;,2,1,NA,NA,5,NA,65,NA
inciso,"LXVI - ninguém será levado à prisão ou nela mantido quando a lei admitir a liberdade provisória, com ou sem fiança;",2,1,NA,NA,5,NA,66,NA
inciso,"LXVII - não haverá prisão civil por dívida, salvo a do responsável pelo inadimplemento voluntário e inescusável de obrigação alimentícia e a do depositário infiel;",2,1,NA,NA,5,NA,67,NA
inciso,"LXVIII - conceder-se-á habeas corpus sempre que alguém sofrer ou se achar ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade ou abuso de poder;",2,1,NA,NA,5,NA,68,NA
inciso,"LXIX - conceder-se-á mandado de segurança para proteger direito líquido e certo, não amparado por habeas corpus ou habeas data, quando o responsável pela ilegalidade ou abuso de poder for autoridade pública ou agente de pessoa jurídica no exercício de atribuições do poder público;",2,1,NA,NA,5,NA,69,NA
inciso,LXX - o mandado de segurança coletivo pode ser impetrado por:,2,1,NA,NA,5,NA,70,NA
alinea,a) partido político com representação no Congresso Nacional;,2,1,NA,NA,5,NA,70,1
alinea,"b) organização sindical, entidade de classe ou associação legalmente constituída e em funcionamento há pelo menos um ano, em defesa dos interesses de seus membros ou associados;",2,1,NA,NA,5,NA,70,2
inciso,"LXXI - conceder-se-á mandado de injunção sempre que a falta de norma regulamentadora torne inviável o exercício dos direitos e liberdades constitucionais e das prerrogativas inerentes à nacionalidade, à soberania e à cidadania;",2,1,NA,NA,5,NA,71,NA
inciso,LXXII - conceder-se-á habeas data:,2,1,NA,NA,5,NA,72,NA
alinea,"a) para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros ou bancos de dados de entidades governamentais ou de caráter público;",2,1,NA,NA,5,NA,72,1
alinea,"b) para a retificação de dados, quando não se prefira fazê-lo por processo sigiloso, judicial ou administrativo;",2,1,NA,NA,5,NA,72,2
inciso,"LXXIII - qualquer cidadão é parte legítima para propor ação popular que vise a anular ato lesivo ao patrimônio público ou de entidade de que o Estado participe, à moralidade administrativa, ao meio ambiente e ao patrimônio histórico e cultural, ficando o autor, salvo comprovada má-fé, isento de custas judiciais e do ônus da sucumbência;",2,1,NA,NA,5,NA,73,NA
inciso,LXXIV - o Estado prestará assistência jurídica integral e gratuita aos que comprovarem insuficiência de recursos;,2,1,NA,NA,5,NA,74,NA
inciso,"LXXV - o Estado indenizará o condenado por erro judiciário, assim como o que ficar preso além do tempo fixado na sentença;",2,1,NA,NA,5,NA,75,NA
inciso,"LXXVI - são gratuitos para os reconhecidamente pobres, na forma da lei:",2,1,NA,NA,5,NA,76,NA
alinea,a) o registro civil de nascimento;,2,1,NA,NA,5,NA,76,1
alinea,b) a certidão de óbito;,2,1,NA,NA,5,NA,76,2
inciso,"LXXVII - são gratuitas as ações de habeas corpus e habeas data, e, na forma da lei, os atos necessários ao exercício da cidadania.",2,1,NA,NA,5,NA,77,NA
paragrafo,§ 1º As normas definidoras dos direitos e garantias fundamentais têm aplicação imediata.,2,1,NA,NA,5,1,NA,NA
paragrafo,"§ 2º Os direitos e garantias expressos nesta Constituição não excluem outros decorrentes do regime e dos princípios por ela adotados, ou dos tratados internacionais em que a República Federativa do Brasil seja parte.",2,1,NA,NA,5,2,NA,NA
titartb,Capítulo II: Dos Direitos Sociais,2,2,NA,NA,NA,NA,NA,NA
artigo,"Art. 6º São direitos sociais a educação, a saúde, o trabalho, o lazer, a segurança, a previdência social, a proteção à maternidade e à infância, a assistência aos desamparados, na forma desta Constituição.",2,2,NA,NA,6,NA,NA,NA
artigo,"Art. 7º São direitos dos trabalhadores urbanos e rurais, além de outros que visem à melhoria de sua condição social:",2,2,NA,NA,7,NA,NA,NA
inciso,"I - relação de emprego protegida contra despedida arbitrária ou sem justa causa, nos termos de lei complementar, que preverá indenização compensatória, dentre outros direitos;",2,2,NA,NA,7,NA,1,NA
inciso,"II - seguro-desemprego, em caso de desemprego involuntário;",2,2,NA,NA,7,NA,2,NA
inciso,III - fundo de garantia do tempo de serviço;,2,2,NA,NA,7,NA,3,NA
inciso,"IV - salário mínimo, fixado em lei, nacionalmente unificado, capaz de atender às suas necessidades vitais básicas e às de sua família com moradia, alimentação, educação, saúde, lazer, vestuário, higiene, transporte e previdência social, com reajustes periódicos que lhe preservem o poder aquisitivo, sendo vedada sua vinculação para qualquer fim;",2,2,NA,NA,7,NA,4,NA
inciso,V - piso salarial proporcional à extensão e à complexidade do trabalho;,2,2,NA,NA,7,NA,5,NA
inciso,"VI - irredutibilidade do salário, salvo o disposto em convenção ou acordo coletivo;",2,2,NA,NA,7,NA,6,NA
inciso,"VII - garantia de salário, nunca inferior ao mínimo, para os que percebem remuneração variável;",2,2,NA,NA,7,NA,7,NA
inciso,VIII - décimo terceiro salário com base na remuneração integral ou no valor da aposentadoria;,2,2,NA,NA,7,NA,8,NA
inciso,IX - remuneração do trabalho noturno superior à do diurno;,2,2,NA,NA,7,NA,9,NA
inciso,"X - proteção do salário na forma da lei, constituindo crime sua retenção dolosa;",2,2,NA,NA,7,NA,10,NA
inciso,"XI - participação nos lucros, ou resultados, desvinculada da remuneração, e, excepcionalmente, participação na gestão da empresa, conforme definido em lei;",2,2,NA,NA,7,NA,11,NA
inciso,XII - salário-família pago em razão do dependente do trabalhador de baixa renda nos termos da lei;,2,2,NA,NA,7,NA,12,NA
inciso,"XIII - duração do trabalho normal não superior a oito horas diárias e quarenta e quatro semanais, facultada a compensação de horários e a redução da jornada, mediante acordo ou convenção coletiva de trabalho;",2,2,NA,NA,7,NA,13,NA
inciso,"XIV - jornada de seis horas para o trabalho realizado em turnos ininterruptos de revezamento, salvo negociação coletiva;",2,2,NA,NA,7,NA,14,NA
inciso,"XV - repouso semanal remunerado, preferencialmente aos domingos;",2,2,NA,NA,7,NA,15,NA
inciso,"XVI - remuneração do serviço extraordinário superior, no mínimo, em cinqüenta por cento à do normal;",2,2,NA,NA,7,NA,16,NA
inciso,"XVII - gozo de férias anuais remuneradas com, pelo menos, um terço a mais do que o salário normal;",2,2,NA,NA,7,NA,17,NA
inciso,"XVIII - licença à gestante, sem prejuízo do emprego e do salário, com a duração de cento e vinte dias;",2,2,NA,NA,7,NA,18,NA
inciso,"XIX - licença-paternidade, nos termos fixados em lei;",2,2,NA,NA,7,NA,19,NA
inciso,"XX - proteção do mercado de trabalho da mulher, mediante incentivos específicos, nos termos da lei;",2,2,NA,NA,7,NA,20,NA
inciso,"XXI - aviso prévio proporcional ao tempo de serviço, sendo no mínimo de trinta dias, nos termos da lei;",2,2,NA,NA,7,NA,21,NA
inciso,"XXII - redução dos riscos inerentes ao trabalho, por meio de normas de saúde, higiene e segurança;",2,2,NA,NA,7,NA,22,NA
inciso,"XXIII - adicional de remuneração para as atividades penosas, insalubres ou perigosas, na forma da lei;",2,2,NA,NA,7,NA,23,NA
inciso,XXIV - aposentadoria;,2,2,NA,NA,7,NA,24,NA
inciso,XXV - assistência gratuita aos filhos e dependentes desde o nascimento até seis anos de idade em creches e pré-escolas;,2,2,NA,NA,7,NA,25,NA
inciso,XXVI - reconhecimento das convenções e acordos coletivos de trabalho;,2,2,NA,NA,7,NA,26,NA
inciso,"XXVII - proteção em face da automação, na forma da lei;",2,2,NA,NA,7,NA,27,NA
inciso,"XXVIII - seguro contra acidentes de trabalho, a cargo do empregador, sem excluir a indenização a que este está obrigado, quando incorrer em dolo ou culpa;",2,2,NA,NA,7,NA,28,NA
inciso,"XXIX - ação, quanto a créditos resultantes das relações de trabalho, com prazo prescricional de:",2,2,NA,NA,7,NA,29,NA
alinea,"a) cinco anos para o trabalhador urbano, até o limite de dois anos após a extinção do contrato;",2,2,NA,NA,7,NA,29,1
alinea,"b) até dois anos após a extinção do contrato, para o trabalhador rural;",2,2,NA,NA,7,NA,29,2
inciso,"XXX - proibição de diferença de salários, de exercício de funções e de critério de admissão por motivo de sexo, idade, cor ou estado civil;",2,2,NA,NA,7,NA,30,NA
inciso,XXXI - proibição de qualquer discriminação no tocante a salário e critérios de admissão do trabalhador portador de deficiência;,2,2,NA,NA,7,NA,31,NA
inciso,"XXXII - proibição de distinção entre trabalho manual, técnico e intelectual ou entre os profissionais respectivos;",2,2,NA,NA,7,NA,32,NA
inciso,"XXXIII - proibição de trabalho noturno, perigoso ou insalubre a menores de dezoito e de qualquer trabalho a menores de dezesseis anos, salvo na condição de aprendiz, a partir de quatorze anos;",2,2,NA,NA,7,NA,33,NA
inciso,XXXIV - igualdade de direitos entre o trabalhador com vínculo empregatício permanente e o trabalhador avulso.,2,2,NA,NA,7,NA,34,NA
paragrafo,"Parágrafo único. São assegurados à categoria dos trabalhadores domésticos os direitos previstos nos incisos IV, VI, VIII, XV, XVII, XVIII, XIX, XXI e XXIV, bem como a sua integração à previdência social.",2,2,NA,NA,7,1,NA,NA
artigo,"Art. 8º É livre a associação profissional ou sindical, observado o seguinte:",2,2,NA,NA,8,NA,NA,NA
inciso,"I - a lei não poderá exigir autorização do Estado para a fundação de sindicato, ressalvado o registro no órgão competente, vedadas ao poder público a interferência e a intervenção na organização sindical;",2,2,NA,NA,8,NA,1,NA
inciso,"II - é vedada a criação de mais de uma organização sindical, em qualquer grau, representativa de categoria profissional ou econômica, na mesma base territorial, que será definida pelos trabalhadores ou empregadores interessados, não podendo ser inferior à área de um Município;",2,2,NA,NA,8,NA,2,NA
inciso,"III - ao sindicato cabe a defesa dos direitos e interesses coletivos ou individuais da categoria, inclusive em questões judiciais ou administrativas;",2,2,NA,NA,8,NA,3,NA
inciso,"IV - a assembléia geral fixará a contribuição que, em se tratando de categoria profissional, será descontada em folha, para custeio do sistema confederativo da representação sindical respectiva, independentemente da contribuição prevista em lei;",2,2,NA,NA,8,NA,4,NA
inciso,V - ninguém será obrigado a filiar-se ou a manter-se filiado a sindicato;,2,2,NA,NA,8,NA,5,NA
inciso,VI - é obrigatória a participação dos sindicatos nas negociações coletivas de trabalho;,2,2,NA,NA,8,NA,6,NA
inciso,VII - o aposentado filiado tem direito a votar e ser votado nas organizações sindicais;,2,2,NA,NA,8,NA,7,NA
inciso,"VIII - é vedada a dispensa do empregado sindicalizado a partir do registro da candidatura a cargo de direção ou representação sindical e, se eleito, ainda que suplente, até um ano após o final do mandato, salvo se cometer falta grave nos termos da lei.",2,2,NA,NA,8,NA,8,NA
paragrafo,"Parágrafo único. As disposições deste artigo aplicam-se à organização de sindicatos rurais e de colônias de pescadores, atendidas as condições que a lei estabelecer.",2,2,NA,NA,8,1,NA,NA
artigo,"Art. 9º É assegurado o direito de greve, competindo aos trabalhadores decidir sobre a oportunidade de exercê-lo e sobre os interesses que devam por meio dele defender.",2,2,NA,NA,9,NA,NA,NA
paragrafo,§ 1º A lei definirá os serviços ou atividades essenciais e disporá sobre o atendimento das necessidades inadiáveis da comunidade.,2,2,NA,NA,9,1,NA,NA
paragrafo,§ 2º Os abusos cometidos sujeitam os responsáveis às penas da lei.,2,2,NA,NA,9,2,NA,NA
artigo,Art. 10. É assegurada a participação dos trabalhadores e empregadores nos colegiados dos órgãos públicos em que seus interesses profissionais ou previdenciários sejam objeto de discussão e deliberação.,2,2,NA,NA,10,NA,NA,NA
artigo,"Art. 11. Nas empresas de mais de duzentos empregados, é assegurada a eleição de um representante destes com a finalidade exclusiva de promover-lhes o entendimento direto com os empregadores.",2,2,NA,NA,11,NA,NA,NA
titartb,Capítulo III: Da Nacionalidade,2,3,NA,NA,NA,NA,NA,NA
artigo,Art. 12. São brasileiros:,2,3,NA,NA,12,NA,NA,NA
inciso,I - natos:,2,3,NA,NA,12,NA,1,NA
alinea,"a) os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros, desde que estes não estejam a serviço de seu país;",2,3,NA,NA,12,NA,1,1
alinea,"b) os nascidos no estrangeiro, de pai brasileiro ou de mãe brasileira, desde que qualquer deles esteja a serviço da República Federativa do Brasil;",2,3,NA,NA,12,NA,1,2
alinea,"c) os nascidos no estrangeiro, de pai brasileiro ou de mãe brasileira, desde que venham a residir na República Federativa do Brasil e optem, em qualquer tempo, pela nacionalidade brasileira;",2,3,NA,NA,12,NA,1,3
inciso,II - naturalizados:,2,3,NA,NA,12,NA,2,NA
alinea,"a) os que, na forma da lei, adquiram a nacionalidade brasileira, exigidas aos originários de países de língua portuguesa apenas residência por um ano ininterrupto e idoneidade moral;",2,3,NA,NA,12,NA,2,1
alinea,"b) os estrangeiros de qualquer nacionalidade residentes na República Federativa do Brasil há mais de quinze anos ininterruptos e sem condenação penal, desde que requeiram a nacionalidade brasileira.",2,3,NA,NA,12,NA,2,2
paragrafo,"§ 1º Aos portugueses com residência permanente no País, se houver reciprocidade em favor de brasileiros, serão atribuídos os direitos inerentes ao brasileiro, salvo os casos previstos nesta Constituição.",2,3,NA,NA,12,1,NA,NA
